Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715964145526,1715964145591,65,D 122 124 & Q 126 55 & A 94 124 & Q 77 131 & D 78 146 & Q 153 155 & Q 49 95 & A 73 153 & Q 180 102 & Q 3 21 & D 84 135 & Q 189 121 & Q 198 68 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.44303636220678,2,3,8,13,2049
1,1715964147622,1715964147631,9,Q 121 175 & Q 124 65 & Q 116 91 & Q 32 50 & Q 163 25 & Q 21 39 & A 82 91 & Q 129 90 & A 63 110 & Q 115 10 & D 160 87 & Q 134 137 & Q 178 184 & Q 194 134 & Q 101 22 & Q 106 102 & Q 13 180 & Q 50 34 & Q 163 29 & Q 81 17 & D 56 104 & A 195 187 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,26.33414911404749,3,2,17,22,102
2,1715964147736,1715964147744,8,Q 42 186 & Q 160 108 & D 172 13 & Q 78 126 & Q 33 2 & Q 87 110 & Q 180 93 & Q 165 84 & Q 80 41 & Q 170 54 & Q 28 180 & Q 124 47 & Q 162 188 & Q 88 35 & Q 188 106 & Q 104 99 & Q 7 187 & A 22 98 & Q 145 135 & A 110 20 & D 175 127 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & 3 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,26.791774256972992,2,2,17,21,6530
3,1715964154267,1715964154277,10,Q 15 82 & Q 125 106 & Q 152 147 & Q 32 25 & Q 55 65 & Q 2 54 & Q 51 37 & D 29 32 & D 136 159 & Q 45 133 & D 136 143 & Q 147 29 & D 6 84 & Q 36 124 & Q 171 186 & A 90 193 & Q 77 135 & F,-1 & -1 & -1 & -1 & -1 & 7 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.96266722959335,1,4,12,17,9791
4,1715964164071,1715964164085,14,D 79 123 & Q 12 125 & D 173 143 & D 148 93 & Q 47 80 & Q 186 200 & A 130 198 & Q 169 58 & Q 170 151 & Q 95 153 & Q 185 187 & Q 43 4 & F,-1 & 5 & -1 & -1 & -1 & 7 & -1 & -1 & ,36.551350243621926,1,3,8,12,2888
5,1715964166973,1715964167017,44,Q 9 87 & A 66 116 & Q 179 35 & Q 109 10 & D 123 157 & Q 13 87 & Q 143 111 & D 1 97 & Q 129 153 & Q 123 43 & Q 70 60 & Q 59 147 & Q 166 146 & Q 123 196 & A 80 108 & Q 193 123 & Q 63 17 & D 138 195 & Q 71 153 & Q 21 89 & A 43 27 & Q 166 158 & Q 79 136 & A 173 14 & A 143 15 & F,-1 & -1 & -1 & -1 & 7 & 7 & -1 & -1 & -1 & -1 & 8 & -1 & 11 & -1 & -1 & -1 & -1 & ,30.512770461125903,5,3,17,25,7500
6,1715964174478,1715964174546,68,D 162 24 & D 21 52 & Q 143 33 & Q 76 123 & A 30 182 & Q 26 147 & D 41 59 & A 198 93 & A 62 42 & D 3 55 & D 193 93 & Q 86 19 & Q 41 147 & Q 159 16 & A 24 98 & Q 122 41 & Q 170 83 & Q 28 186 & A 69 28 & D 27 15 & Q 160 129 & A 139 24 & Q 55 116 & Q 151 8 & Q 41 147 & F,6 & -1 & -1 & -1 & 4 & -1 & -1 & 5 & 4 & -1 & 5 & 8 & 4 & ,38.201671288266255,6,6,13,25,442
7,1715964174922,1715964174944,22,Q 131 130 & Q 92 153 & Q 135 26 & Q 144 195 & D 15 72 & Q 63 17 & A 137 175 & Q 174 122 & Q 30 79 & Q 112 80 & Q 1 74 & Q 54 101 & A 134 80 & Q 165 140 & Q 41 157 & Q 73 163 & Q 69 185 & Q 78 178 & Q 33 63 & F,4 & 6 & -1 & 4 & 8 & 9 & -1 & 6 & 5 & 9 & -1 & 5 & 4 & 4 & 8 & 4 & ,25.584602034751335,2,1,16,19,3563
8,1715964178500,1715964178587,87,Q 20 56 & Q 143 200 & D 115 81 & Q 26 11 & A 4 27 & Q 77 170 & Q 130 6 & Q 117 85 & Q 167 128 & Q 177 43 & Q 194 183 & Q 140 25 & Q 165 144 & D 190 123 & Q 32 198 & Q 31 17 & Q 55 121 & Q 185 92 & Q 112 177 & Q 100 72 & Q 123 140 & Q 130 95 & Q 5 42 & F,4 & -1 & -1 & 5 & 5 & 2 & 6 & 5 & 5 & 2 & -1 & 5 & 7 & 3 & 7 & -1 & 4 & 7 & 5 & 3 & ,23.961597589038597,1,2,20,23,5533
9,1715964184047,1715964184135,88,Q 92 65 & D 53 78 & D 123 62 & D 179 8 & Q 75 114 & Q 192 105 & D 143 11 & D 1 62 & Q 75 167 & D 194 70 & Q 161 119 & Q 53 135 & Q 110 171 & Q 62 73 & Q 142 85 & A 63 188 & Q 174 64 & D 107 97 & Q 129 53 & D 103 28 & A 74 80 & Q 51 178 & Q 123 141 & Q 2 13 & Q 71 116 & F,2 & 4 & 2 & 1 & 4 & 6 & 2 & 3 & 3 & 5 & 6 & 5 & 5 & 3 & -1 & ,37.07466065707507,2,8,15,25,9999
10,1715964194050,1715964194078,28,Q 10 4 & Q 68 12 & A 80 23 & Q 197 191 & Q 54 52 & Q 190 34 & Q 17 89 & Q 44 183 & A 145 143 & Q 112 20 & A 199 14 & Q 177 88 & Q 186 63 & F,2 & 4 & 4 & 4 & 5 & 4 & 4 & 5 & 5 & 4 & ,29.129754254864665,3,0,10,13,6469
11,1715964200538,1715964200602,64,Q 91 188 & A 140 162 & Q 144 168 & Q 72 1 & Q 37 130 & D 175 115 & Q 51 87 & Q 161 157 & Q 93 198 & Q 41 169 & Q 20 9 & Q 12 162 & Q 54 185 & A 174 73 & Q 32 69 & Q 187 69 & Q 190 18 & D 175 151 & Q 60 20 & Q 73 12 & Q 3 173 & F,3 & 5 & 4 & 3 & 4 & 4 & 3 & 4 & 3 & 6 & 3 & 4 & 4 & 3 & 3 & 3 & 2 & ,28.808990448448494,2,2,17,21,2735
12,1715964203276,1715964203310,34,Q 85 140 & A 163 117 & Q 62 94 & Q 176 67 & D 117 155 & Q 10 54 & D 84 175 & Q 165 148 & Q 28 102 & Q 185 66 & F,3 & 4 & 3 & 4 & 5 & 3 & 2 & ,30.95152320356803,1,2,7,10,5050
13,1715964208338,1715964208371,33,Q 49 187 & Q 79 93 & Q 153 19 & Q 57 64 & D 54 7 & Q 36 34 & Q 47 18 & Q 97 102 & Q 28 150 & Q 93 44 & Q 161 134 & Q 178 121 & Q 14 156 & Q 168 23 & Q 33 75 & Q 151 124 & A 123 124 & Q 27 63 & Q 126 3 & Q 117 101 & Q 183 175 & Q 7 116 & D 155 85 & F,3 & 4 & 4 & 4 & 3 & 3 & 3 & 4 & 4 & 3 & 5 & 3 & 5 & 4 & 4 & 3 & 4 & 3 & 3 & 6 & ,30.947316130787847,1,2,20,23,2118
14,1715964210457,1715964210536,79,Q 139 19 & Q 189 18 & A 43 7 & D 131 178 & A 43 141 & Q 178 145 & Q 136 95 & D 152 128 & D 168 153 & D 122 98 & Q 84 194 & Q 162 7 & D 124 92 & Q 99 171 & D 93 90 & Q 127 128 & Q 127 102 & Q 152 71 & Q 194 101 & Q 63 135 & Q 32 48 & Q 117 124 & D 174 104 & F,4 & 4 & 4 & 3 & 3 & 2 & 3 & 2 & 3 & 1 & 4 & 2 & 4 & 3 & ,29.39821949388027,2,7,14,23,6876
15,1715964217337,1715964217371,34,Q 84 14 & Q 33 145 & Q 103 43 & Q 86 81 & Q 158 187 & Q 80 120 & Q 80 122 & Q 184 150 & A 99 63 & Q 38 107 & Q 70 170 & Q 34 82 & Q 165 107 & Q 190 174 & Q 52 8 & Q 11 157 & D 197 136 & Q 68 135 & Q 9 139 & Q 122 123 & A 93 138 & F,2 & 2 & 4 & 2 & 2 & 5 & 4 & 4 & 3 & 2 & 2 & 5 & 5 & 4 & 3 & 4 & 2 & 3 & ,25.717692342211855,2,1,18,21,2633
16,1715964219972,1715964220074,102,Q 169 115 & Q 86 176 & Q 105 147 & Q 153 7 & Q 174 169 & Q 182 56 & Q 14 10 & Q 157 72 & A 106 75 & Q 56 9 & Q 125 62 & Q 32 183 & Q 174 98 & A 43 74 & Q 179 87 & D 3 104 & A 107 178 & D 117 179 & Q 86 164 & Q 20 64 & Q 71 193 & F,1 & 3 & 4 & 3 & 4 & 2 & 4 & 2 & 3 & 3 & 3 & 5 & 4 & 3 & 3 & 5 & ,26.86373974851514,3,2,16,21,2586
17,1715964222560,1715964222675,115,A 36 140 & Q 173 85 & Q 49 98 & A 101 75 & D 185 86 & A 20 74 & A 9 79 & A 63 187 & D 176 70 & Q 30 61 & Q 68 130 & A 100 166 & Q 91 179 & Q 174 51 & D 26 180 & A 24 1 & Q 181 70 & Q 154 89 & A 73 177 & D 116 83 & Q 83 153 & Q 133 26 & F,3 & 4 & 3 & 4 & 3 & 3 & 3 & 2 & 3 & 3 & ,35.944119079368214,8,4,10,22,7268
18,1715964229831,1715964229944,113,Q 189 18 & A 102 165 & Q 181 167 & Q 112 109 & Q 44 54 & D 60 55 & Q 107 34 & Q 188 175 & Q 121 1 & Q 32 120 & Q 190 71 & Q 85 182 & Q 15 38 & Q 143 162 & Q 134 13 & Q 7 102 & A 43 99 & D 180 33 & Q 38 109 & Q 58 158 & Q 26 159 & F,4 & 3 & 3 & 3 & 4 & 3 & 2 & 4 & 2 & 4 & 4 & 2 & 3 & 4 & 4 & 4 & 3 & ,29.316236438570616,2,2,17,21,425
