Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715964145257,1715964145694,437,Q 120 95 & Q 194 175 & Q 108 89 & Q 77 113 & A 15 80 & D 55 118 & D 192 77 & Q 185 83 & A 41 125 & Q 9 164 & Q 102 43 & Q 80 122 & D 93 149 & Q 186 71 & A 171 101 & Q 23 123 & A 108 12 & A 163 198 & Q 10 153 & Q 90 120 & Q 190 121 & Q 93 129 & Q 87 78 & A 172 119 & A 175 40 & Q 69 16 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,36.52653397523332,7,3,16,26,4510
1,1715964149914,1715964149926,12,D 78 43 & D 130 64 & Q 197 119 & Q 142 157 & D 192 3 & D 23 145 & A 128 45 & Q 80 136 & D 9 141 & Q 99 31 & Q 165 61 & A 78 46 & Q 65 64 & A 5 195 & F,-1 & -1 & -1 & -1 & -1 & -1 & ,34.244404597168106,3,5,6,14,154
2,1715964150073,1715964150084,11,Q 182 10 & Q 75 162 & Q 31 19 & Q 65 110 & D 17 132 & Q 18 38 & Q 52 31 & A 139 89 & Q 117 3 & Q 116 142 & D 57 171 & D 13 180 & Q 53 70 & A 50 149 & Q 34 180 & Q 31 9 & Q 103 101 & Q 33 177 & Q 187 55 & Q 165 184 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,31.228220155632737,2,3,15,20,2516
3,1715964152591,1715964152599,8,Q 179 103 & Q 31 29 & D 8 137 & D 56 168 & D 108 69 & Q 4 1 & Q 34 157 & Q 180 41 & Q 158 96 & Q 160 55 & Q 88 54 & D 181 177 & Q 67 190 & Q 98 4 & F,-1 & -1 & 1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.342074548198184,0,4,10,14,3165
4,1715964155757,1715964155767,10,Q 47 37 & Q 179 145 & A 184 63 & A 67 117 & A 119 71 & D 42 17 & Q 67 78 & Q 23 98 & Q 98 150 & Q 11 195 & Q 158 135 & A 11 13 & Q 25 92 & Q 135 127 & Q 162 65 & Q 192 92 & Q 22 179 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,28.201203166335752,4,1,12,17,5191
5,1715964160950,1715964160975,25,Q 168 118 & Q 87 32 & Q 114 43 & D 151 120 & D 196 47 & A 164 135 & A 118 39 & A 169 173 & D 1 148 & Q 200 118 & Q 32 135 & Q 117 99 & A 114 116 & D 138 42 & Q 96 186 & A 106 45 & Q 144 149 & Q 147 60 & Q 188 22 & F,-1 & -1 & -1 & 6 & -1 & 12 & 4 & -1 & -1 & -1 & ,39.274021134213015,5,4,10,19,9330
6,1715964170282,1715964170333,51,Q 8 51 & Q 179 80 & Q 163 189 & Q 26 186 & Q 153 12 & D 171 123 & A 107 163 & Q 33 93 & Q 146 173 & Q 56 43 & A 173 31 & A 25 192 & Q 66 164 & A 92 173 & Q 118 150 & Q 177 88 & Q 151 155 & Q 68 55 & D 36 172 & D 12 115 & Q 134 148 & Q 66 38 & Q 80 182 & A 28 69 & Q 195 1 & Q 163 172 & Q 78 25 & Q 93 71 & A 10 25 & F,10 & -1 & 8 & -1 & 5 & 10 & 2 & -1 & 7 & 7 & 7 & 7 & 5 & 8 & 6 & 5 & 7 & 6 & -1 & 3 & ,34.686476662974954,6,3,20,29,8889
7,1715964179178,1715964179243,65,Q 193 74 & A 179 51 & Q 21 5 & Q 96 182 & A 196 181 & Q 42 112 & Q 184 75 & Q 182 148 & A 98 65 & Q 100 192 & Q 1 156 & Q 180 187 & Q 78 191 & Q 28 140 & D 69 16 & Q 54 109 & Q 53 124 & Q 91 185 & D 137 200 & D 118 195 & D 187 24 & Q 157 75 & A 180 169 & F,6 & 5 & 4 & -1 & 6 & 3 & 3 & 7 & 3 & 7 & 6 & 6 & 6 & 6 & 7 & ,34.848711350651605,4,4,15,23,1115
8,1715964180310,1715964180354,44,Q 119 38 & Q 195 62 & A 106 110 & Q 58 200 & Q 176 15 & D 132 85 & Q 195 13 & Q 77 26 & D 167 114 & Q 23 2 & Q 179 109 & Q 158 148 & Q 41 147 & A 80 4 & Q 93 90 & Q 73 110 & Q 20 100 & D 32 163 & F,6 & 4 & 8 & 6 & 4 & 4 & -1 & 6 & 4 & 4 & 3 & 4 & 5 & ,33.66068496682916,2,3,13,18,2869
9,1715964183400,1715964183492,92,D 183 160 & D 41 39 & Q 9 30 & Q 41 74 & Q 199 42 & D 143 193 & A 151 146 & Q 161 43 & Q 156 61 & Q 86 126 & D 5 142 & A 46 43 & Q 102 197 & Q 122 181 & Q 68 179 & Q 200 50 & A 99 69 & Q 120 111 & A 167 74 & Q 181 175 & D 69 124 & A 192 200 & Q 176 62 & Q 54 30 & A 156 27 & Q 23 11 & Q 8 125 & Q 16 167 & Q 28 69 & F,3 & 3 & 4 & 4 & 6 & -1 & 7 & 6 & 5 & 3 & 5 & 3 & 4 & 5 & -1 & 4 & 4 & 1 & ,28.58195758393594,6,5,18,29,5687
