Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715964145642,1715964145799,157,Q 19 38 & A 54 68 & Q 103 85 & Q 144 103 & A 2 36 & Q 88 114 & Q 144 51 & Q 132 106 & Q 71 184 & Q 124 183 & Q 147 7 & Q 66 122 & Q 178 23 & D 114 172 & Q 171 89 & Q 155 179 & Q 117 142 & Q 64 90 & Q 147 165 & D 71 193 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.88056608429911,2,2,16,20,8175
1,1715964153867,1715964153879,12,D 68 177 & Q 48 91 & Q 131 189 & Q 168 26 & Q 196 155 & Q 90 5 & Q 117 175 & Q 121 117 & Q 166 114 & Q 48 63 & Q 46 147 & A 54 23 & Q 195 20 & D 155 141 & Q 55 156 & Q 136 38 & D 178 121 & A 17 151 & Q 83 50 & Q 165 7 & Q 60 158 & F,-1 & 8 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,34.010942808732096,2,3,16,21,4477
2,1715964158350,1715964158361,11,Q 177 22 & Q 25 158 & Q 187 87 & Q 135 173 & A 56 51 & Q 76 87 & Q 147 138 & D 57 147 & A 58 47 & Q 139 64 & Q 110 100 & Q 176 79 & F,-1 & -1 & -1 & -1 & -1 & -1 & 12 & -1 & -1 & ,23.10449096246473,2,1,9,12,3271
3,1715964161622,1715964161640,18,Q 97 78 & Q 110 44 & Q 12 198 & Q 140 94 & Q 197 36 & Q 93 118 & Q 104 30 & Q 5 75 & A 104 171 & Q 38 186 & A 31 56 & D 133 83 & Q 68 178 & D 135 54 & Q 68 186 & Q 8 175 & Q 84 145 & Q 198 15 & A 33 150 & Q 153 22 & F,-1 & -1 & -1 & -1 & 9 & 7 & -1 & -1 & -1 & -1 & -1 & -1 & 10 & -1 & -1 & ,23.890491398710527,3,2,15,20,6125
4,1715964167761,1715964167793,32,D 130 173 & D 153 184 & A 126 11 & Q 73 155 & A 194 22 & Q 24 148 & Q 88 160 & A 117 5 & D 104 65 & D 97 68 & Q 53 176 & F,8 & 10 & -1 & 9 & ,27.514138239150025,3,4,4,11,1165
5,1715964168929,1715964168953,24,Q 119 158 & Q 11 37 & A 22 18 & Q 17 80 & Q 128 180 & Q 68 63 & Q 86 82 & Q 42 166 & Q 8 54 & Q 53 79 & Q 158 78 & A 189 118 & Q 161 21 & Q 134 8 & Q 36 63 & D 78 84 & Q 115 170 & Q 109 45 & F,9 & -1 & 4 & 7 & 3 & -1 & -1 & 11 & 6 & 8 & 7 & 9 & 10 & -1 & -1 & ,26.587434331958924,2,1,15,18,7070
6,1715964176013,1715964176048,35,Q 11 199 & A 141 154 & Q 31 165 & Q 134 97 & Q 11 60 & Q 29 85 & D 20 163 & Q 30 4 & Q 89 113 & Q 113 91 & Q 66 133 & D 32 73 & Q 160 132 & A 169 175 & Q 161 50 & Q 136 193 & A 101 149 & F,7 & 2 & 6 & 5 & 3 & -1 & 8 & 7 & 6 & 1 & 6 & 5 & ,34.33389448000405,3,2,12,17,1332
7,1715964177359,1715964177394,35,Q 90 17 & D 174 57 & Q 178 126 & Q 32 122 & Q 28 180 & D 148 86 & Q 124 134 & A 133 77 & Q 82 77 & Q 103 57 & D 165 100 & Q 130 107 & D 6 63 & Q 89 85 & Q 72 197 & Q 195 51 & Q 6 195 & Q 150 9 & Q 96 176 & Q 129 144 & Q 184 180 & F,7 & 7 & 6 & 2 & -1 & 4 & -1 & 5 & 2 & -1 & 5 & 8 & 5 & 4 & 7 & 5 & ,21.866856340037177,1,4,16,21,4825
8,1715964182198,1715964182241,43,Q 8 107 & A 116 39 & A 96 149 & Q 135 172 & Q 36 65 & Q 131 186 & Q 10 49 & Q 55 20 & Q 175 188 & Q 72 200 & Q 85 187 & D 18 16 & Q 170 7 & Q 134 147 & Q 75 111 & Q 74 23 & A 133 149 & Q 134 96 & A 99 47 & F,8 & -1 & 2 & 5 & 4 & 3 & 6 & 9 & 4 & 5 & 4 & 3 & 5 & 4 & ,23.527000599697256,4,1,14,19,7855
9,1715964190064,1715964190108,44,A 19 154 & Q 37 46 & Q 49 200 & Q 63 131 & D 198 46 & D 88 81 & Q 123 49 & Q 85 140 & Q 70 195 & Q 84 154 & D 148 178 & Q 173 3 & Q 115 137 & D 150 17 & Q 2 35 & Q 41 115 & Q 88 177 & Q 87 104 & Q 135 91 & F,4 & 5 & 5 & 5 & 3 & 4 & 3 & 4 & 6 & 4 & 3 & -1 & -1 & -1 & ,33.045056048118305,1,4,14,19,8705
10,1715964198774,1715964198825,51,D 193 21 & Q 30 48 & D 19 151 & Q 61 118 & A 113 86 & Q 76 49 & Q 161 195 & Q 56 33 & Q 58 63 & Q 11 126 & Q 200 43 & Q 81 198 & Q 182 120 & Q 112 78 & A 107 180 & Q 28 188 & Q 19 23 & Q 22 135 & Q 25 151 & Q 8 158 & Q 16 57 & Q 191 149 & Q 35 193 & Q 100 134 & D 169 12 & F,4 & 5 & 3 & 4 & 4 & 4 & 4 & 3 & 4 & 5 & 5 & 2 & 5 & 3 & 2 & 4 & 2 & 2 & 3 & 2 & ,24.035356129371145,2,3,20,25,4090
11,1715964203092,1715964203141,49,A 38 70 & Q 105 64 & D 134 124 & Q 7 117 & Q 196 185 & Q 83 108 & Q 154 132 & D 56 156 & D 53 47 & Q 28 79 & Q 35 95 & A 109 170 & Q 126 73 & F,2 & 5 & 4 & 2 & 3 & 3 & 4 & 3 & ,31.560109943756313,2,3,8,13,2811
12,1715964205907,1715964205962,55,Q 112 166 & A 53 24 & Q 38 109 & A 163 96 & Q 76 86 & Q 197 84 & A 190 35 & Q 153 62 & Q 97 142 & Q 12 198 & Q 162 94 & Q 192 55 & Q 56 5 & Q 135 198 & Q 14 170 & Q 120 68 & Q 8 77 & Q 37 46 & D 141 98 & F,3 & 4 & 4 & 5 & 3 & 2 & 4 & 2 & 4 & 5 & -1 & 3 & 5 & 2 & 4 & ,21.9148573282065,3,1,15,19,9642
13,1715964215551,1715964215650,99,Q 105 168 & Q 194 138 & Q 65 8 & Q 20 110 & D 166 188 & Q 45 109 & Q 199 111 & Q 128 136 & D 131 1 & A 84 49 & A 40 25 & Q 159 99 & Q 120 139 & Q 147 152 & Q 124 149 & Q 28 127 & A 65 141 & A 49 123 & Q 186 127 & Q 52 52 & Q 196 38 & F,3 & 3 & 2 & 3 & 4 & 3 & 3 & 3 & 3 & 4 & -1 & 4 & 3 & 0 & 3 & ,30.964543395385956,4,2,15,21,9274
14,1715964224835,1715964224871,36,Q 49 45 & Q 42 182 & Q 130 20 & A 35 191 & Q 21 199 & Q 170 109 & Q 181 143 & Q 155 143 & Q 157 125 & Q 115 162 & A 186 34 & Q 109 53 & Q 12 124 & D 20 89 & F,4 & 3 & 3 & 4 & 3 & 3 & 4 & 3 & 3 & 3 & 4 & ,29.015788069810082,2,1,11,14,9445
15,1715964234282,1715964234337,55,Q 106 183 & A 146 18 & Q 158 47 & D 122 197 & D 63 136 & Q 112 100 & Q 91 33 & D 158 132 & D 160 141 & Q 55 148 & Q 98 141 & Q 61 7 & Q 135 157 & Q 140 107 & Q 136 62 & Q 140 23 & Q 101 117 & Q 135 12 & F,4 & 2 & 3 & 3 & 1 & 2 & 3 & -1 & 2 & 3 & 3 & 4 & -1 & ,40.08461779359756,1,4,13,18,8869
