Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715964145403,1715964145675,272,Q 119 19 & D 63 48 & Q 121 54 & Q 77 47 & Q 1 14 & Q 156 33 & Q 88 12 & D 50 13 & D 53 99 & A 15 60 & Q 71 150 & D 172 123 & A 188 30 & A 50 119 & Q 66 88 & Q 130 107 & D 184 175 & Q 163 18 & Q 199 66 & Q 50 150 & D 51 151 & Q 170 100 & Q 59 146 & Q 183 104 & D 167 144 & Q 112 95 & Q 162 152 & D 159 105 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.13875828655652,3,8,17,28,7349
1,1715964152934,1715964152945,11,Q 40 88 & Q 22 134 & A 134 21 & Q 36 61 & Q 174 73 & Q 152 15 & Q 176 143 & Q 188 115 & Q 31 32 & Q 158 85 & Q 11 5 & A 31 113 & Q 91 56 & Q 6 77 & Q 109 123 & Q 21 144 & Q 168 98 & Q 56 17 & Q 1 161 & Q 57 180 & A 36 116 & Q 31 145 & Q 72 45 & Q 167 11 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,26.636937431333706,3,0,21,24,7179
2,1715964160117,1715964160128,11,Q 37 194 & Q 155 164 & D 110 91 & Q 87 139 & Q 144 167 & Q 142 48 & Q 22 11 & Q 146 144 & Q 55 93 & Q 60 3 & Q 165 86 & Q 36 105 & Q 80 28 & Q 11 68 & Q 133 170 & Q 62 102 & Q 62 109 & Q 84 186 & A 53 75 & Q 24 112 & Q 9 45 & Q 105 58 & F,-1 & 7 & -1 & 6 & -1 & -1 & 12 & -1 & -1 & -1 & -1 & 6 & 7 & -1 & -1 & 6 & 2 & -1 & 6 & -1 & ,28.506420361405734,1,1,20,22,9597
3,1715964169729,1715964169765,36,Q 71 33 & Q 1 82 & Q 67 33 & Q 71 172 & D 78 136 & Q 51 99 & Q 182 154 & Q 49 165 & Q 181 75 & Q 49 101 & Q 57 86 & Q 159 72 & A 178 165 & Q 119 32 & Q 58 91 & A 99 62 & D 49 109 & D 76 79 & D 142 41 & Q 32 174 & F,-1 & 4 & 6 & -1 & -1 & -1 & 7 & 10 & 8 & -1 & -1 & 13 & 6 & 7 & ,35.30563866454096,2,4,14,20,8989
4,1715964178730,1715964178779,49,D 180 197 & Q 123 186 & Q 70 123 & Q 21 181 & Q 15 149 & Q 73 36 & A 55 160 & Q 1 54 & Q 96 50 & A 5 31 & Q 7 196 & Q 197 192 & Q 46 133 & F,5 & 7 & 7 & 4 & 5 & 5 & 6 & 7 & 6 & 7 & ,34.95927216964189,2,1,10,13,4335
5,1715964183075,1715964183149,74,Q 56 162 & Q 169 59 & Q 82 29 & Q 7 75 & D 9 119 & A 152 81 & Q 47 102 & A 16 106 & D 50 84 & Q 169 82 & A 182 91 & Q 111 180 & Q 183 184 & A 150 107 & D 33 169 & A 114 119 & Q 51 123 & Q 55 179 & Q 200 179 & Q 76 183 & Q 25 158 & Q 20 26 & Q 177 187 & Q 30 58 & A 68 145 & Q 62 188 & Q 108 3 & D 8 96 & F,6 & 5 & 5 & 7 & 4 & 5 & 5 & 8 & 5 & 6 & 6 & 4 & 5 & 5 & 3 & 5 & 4 & 3 & ,33.78788987161144,6,4,18,28,7823
6,1715964190905,1715964190935,30,Q 129 103 & Q 117 167 & A 132 50 & A 107 115 & Q 21 51 & Q 138 40 & Q 138 146 & Q 37 180 & Q 7 140 & Q 126 146 & A 102 190 & Q 1 142 & Q 160 123 & Q 96 50 & Q 37 194 & Q 69 134 & Q 75 109 & Q 192 12 & Q 28 153 & F,6 & 3 & 4 & 3 & 5 & 4 & 5 & 4 & 2 & 3 & 5 & 3 & 4 & 4 & 3 & 4 & ,22.24270889136753,3,0,16,19,769
7,1715964191680,1715964191717,37,Q 10 184 & D 11 168 & Q 10 172 & Q 66 50 & Q 35 121 & Q 94 199 & Q 103 140 & Q 180 68 & Q 17 31 & Q 108 38 & A 76 139 & Q 148 113 & Q 131 14 & Q 11 200 & Q 18 22 & A 102 23 & Q 155 10 & D 2 53 & Q 109 197 & Q 8 18 & Q 12 123 & Q 120 90 & Q 113 157 & Q 36 109 & F,3 & 3 & 3 & 7 & 6 & 6 & 2 & 4 & 4 & 4 & 4 & 3 & 5 & 6 & 6 & 2 & 5 & 5 & 4 & 5 & ,27.666440884520732,2,2,20,24,5165
8,1715964196853,1715964196937,84,Q 40 108 & Q 30 26 & Q 137 197 & Q 3 148 & Q 134 185 & D 136 107 & Q 77 142 & D 62 32 & A 162 66 & A 39 139 & A 115 112 & Q 89 47 & A 121 23 & A 152 71 & A 180 100 & A 128 148 & A 128 184 & Q 79 193 & Q 2 160 & Q 12 119 & Q 67 75 & F,4 & 5 & 2 & 4 & 4 & 1 & 3 & 4 & 4 & 5 & 5 & ,31.355390936426563,8,2,11,21,8350
9,1715964205208,1715964205236,28,Q 71 50 & Q 92 174 & Q 85 150 & Q 98 5 & D 117 166 & Q 152 138 & Q 42 80 & Q 155 144 & A 161 97 & A 65 39 & Q 95 156 & Q 10 10 & F,5 & 4 & 4 & 4 & 2 & 5 & 4 & 2 & 0 & ,24.768184945419247,2,1,9,12,435
