Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715964145128,1715964145419,291,A 44 52 & D 55 107 & Q 128 136 & Q 124 91 & Q 48 138 & Q 96 90 & Q 111 42 & Q 58 34 & Q 94 168 & A 117 81 & Q 12 94 & D 40 99 & Q 68 91 & Q 91 63 & Q 122 134 & A 77 142 & A 75 144 & Q 169 11 & A 3 123 & Q 167 135 & A 97 76 & Q 66 72 & Q 8 185 & Q 15 178 & Q 194 46 & Q 71 26 & Q 37 124 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,34.444976981164636,6,2,19,27,9521
1,1715964154700,1715964154709,9,Q 193 18 & Q 157 86 & Q 55 44 & Q 146 19 & A 173 180 & Q 170 81 & A 70 186 & Q 53 144 & Q 52 17 & D 56 155 & Q 136 105 & A 11 25 & Q 193 113 & Q 188 97 & Q 65 102 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,25.27995072048091,3,1,11,15,7703
2,1715964162419,1715964162440,21,Q 83 7 & Q 169 61 & Q 3 22 & A 31 28 & D 49 98 & Q 39 179 & D 54 71 & D 41 40 & Q 57 192 & Q 142 128 & Q 123 76 & A 38 162 & D 112 106 & Q 152 50 & Q 145 122 & Q 15 96 & D 39 108 & Q 52 15 & Q 115 153 & Q 158 58 & F,-1 & 8 & -1 & -1 & -1 & 3 & 4 & -1 & -1 & 7 & -1 & -1 & -1 & ,31.398262039818775,2,5,13,20,5754
3,1715964168178,1715964168216,38,Q 16 196 & D 90 52 & A 20 192 & Q 100 18 & Q 162 135 & Q 116 34 & Q 76 31 & Q 35 2 & A 184 97 & Q 28 91 & Q 34 168 & D 122 54 & Q 113 97 & Q 77 99 & D 15 154 & Q 187 58 & A 56 111 & Q 64 10 & D 74 139 & Q 98 94 & F,7 & 6 & 4 & -1 & -1 & -1 & 4 & 7 & 6 & 4 & 10 & -1 & 9 & ,26.243682571880598,3,4,13,20,4301
4,1715964172486,1715964172538,52,Q 102 28 & Q 89 51 & A 13 100 & Q 123 69 & Q 166 111 & A 108 182 & Q 45 146 & Q 56 81 & Q 66 87 & A 2 174 & Q 113 123 & A 46 170 & A 31 72 & Q 7 102 & Q 89 147 & A 95 193 & Q 119 177 & Q 72 35 & D 170 103 & F,-1 & 9 & 7 & -1 & 6 & 6 & -1 & 9 & 5 & 3 & -1 & -1 & ,31.750352599521076,6,1,12,19,3080
5,1715964175580,1715964175623,43,Q 35 102 & A 141 119 & Q 164 184 & A 58 99 & Q 22 34 & D 78 48 & Q 111 28 & Q 148 148 & Q 13 134 & Q 164 73 & Q 44 116 & D 97 15 & Q 190 54 & Q 117 140 & D 181 115 & A 143 38 & A 84 48 & Q 65 178 & Q 113 193 & F,-1 & 7 & 5 & 5 & 0 & 9 & 3 & 2 & 7 & 5 & 5 & 6 & ,32.733352170415685,4,3,12,19,3644
6,1715964179239,1715964179318,79,Q 94 8 & Q 161 196 & Q 96 3 & Q 60 63 & D 171 159 & A 186 1 & D 122 58 & D 34 37 & Q 58 156 & Q 113 177 & Q 46 69 & D 111 94 & A 89 171 & Q 2 3 & A 162 100 & D 91 165 & A 132 153 & D 77 141 & A 91 149 & F,5 & 6 & 4 & -1 & 1 & -1 & 7 & 1 & ,34.04400925775593,5,6,8,19,7207
7,1715964186459,1715964186512,53,Q 146 104 & Q 110 24 & Q 55 13 & Q 176 172 & D 5 133 & D 41 36 & Q 196 142 & Q 93 106 & Q 58 189 & Q 159 36 & Q 36 143 & A 123 79 & Q 34 54 & Q 33 70 & Q 49 78 & D 70 182 & A 86 2 & Q 4 3 & A 50 156 & Q 40 140 & Q 110 142 & F,3 & 5 & 6 & 4 & 5 & 7 & 5 & 5 & 5 & 4 & 3 & 5 & 3 & 7 & 3 & ,24.60941445189473,3,3,15,21,5734
8,1715964192306,1715964192428,122,Q 42 32 & Q 28 143 & Q 78 21 & Q 127 84 & A 137 61 & A 138 161 & A 4 101 & Q 72 168 & Q 175 156 & D 82 180 & D 152 191 & Q 7 196 & Q 180 99 & D 173 177 & Q 2 97 & D 187 95 & Q 76 6 & Q 128 88 & Q 19 184 & Q 162 68 & A 38 126 & Q 120 128 & Q 178 53 & A 166 197 & Q 147 151 & A 141 176 & D 3 186 & Q 100 26 & D 170 99 & A 3 28 & F,4 & 4 & 3 & 4 & 6 & 3 & 6 & 1 & 5 & 5 & 4 & 6 & 4 & 6 & 3 & 4 & 4 & ,33.90860636241287,7,6,17,30,1167
9,1715964193483,1715964193539,56,Q 10 136 & A 74 113 & D 200 103 & Q 191 155 & A 54 55 & Q 133 40 & Q 53 193 & A 77 157 & Q 81 169 & Q 22 7 & A 72 76 & D 75 122 & Q 100 10 & Q 80 122 & Q 108 121 & Q 121 133 & Q 96 168 & Q 48 34 & Q 140 147 & F,3 & 5 & 2 & 4 & 4 & 5 & 3 & 6 & 4 & 4 & 4 & 5 & 1 & ,36.426308585224874,4,2,13,19,4141
10,1715964197641,1715964197676,35,D 92 158 & A 163 158 & Q 5 14 & Q 55 138 & A 90 181 & Q 1 22 & Q 75 89 & Q 6 71 & Q 147 48 & A 92 197 & Q 124 187 & Q 89 117 & Q 124 116 & Q 83 198 & Q 32 55 & F,4 & 4 & 4 & 3 & 4 & 4 & -1 & 4 & -1 & 2 & 4 & ,23.10608001345577,3,1,11,15,2464
