Index, StartTimestamp, EndTimestamp, Latency, Batch, BatchOutput, writePercentage, batchSize, timeSleptAfterThisBatch
0, 1715627560875, 1715627560884, 9, Q 77 49 & A 32 87 & Q 98 21 & Q 43 23 & Q 9 99 & D 86 9 & A 66 66 & Q 25 83 & Q 25 90 & Q 94 4 & Q 21 77 & Q 99 65 & D 51 46 & Q 3 84 & Q 88 95 & Q 75 97 & A 14 91 & Q 15 51 & D 41 11 & Q 82 74 & Q 26 55 & A 84 10 & A 94 64 & Q 70 40 & Q 30 41 & F, GSPRemoteObject.processBatch called, 34.5334487943329, 25, 4688
1, 1715627565673, 1715627565676, 3, Q 70 84 & D 82 88 & A 1 98 & Q 50 43 & Q 30 2 & Q 78 26 & Q 56 7 & A 8 8 & A 10 70 & Q 41 91 & Q 84 60 & Q 13 92 & Q 97 100 & Q 98 84 & Q 19 84 & Q 25 61 & A 76 71 & Q 91 40 & Q 26 15 & Q 72 98 & A 45 46 & Q 62 91 & F, GSPRemoteObject.processBatch called, 37.03049287361516, 22, 425
2, 1715627566102, 1715627566104, 2, Q 39 84 & Q 96 26 & Q 42 57 & Q 24 78 & A 90 78 & Q 94 88 & Q 30 20 & A 11 6 & Q 89 23 & Q 35 24 & Q 11 49 & Q 54 38 & D 76 44 & Q 58 71 & Q 40 21 & Q 10 40 & Q 69 63 & Q 95 93 & F, GSPRemoteObject.processBatch called, 17.39349711217967, 18, 5209
0, 1715630755714, 1715630755717, 3, Q 77 49 & A 32 87 & Q 98 21 & Q 43 23 & Q 9 99 & D 86 9 & A 66 66 & Q 25 83 & Q 25 90 & Q 94 4 & Q 21 77 & Q 99 65 & D 51 46 & Q 3 84 & Q 88 95 & Q 75 97 & A 14 91 & Q 15 51 & D 41 11 & Q 82 74 & Q 26 55 & A 84 10 & A 94 64 & Q 70 40 & Q 30 41 & F, call subscribe first, 34.5334487943329, 25, 4688
1, 1715630760551, 1715630760552, 1, Q 70 84 & D 82 88 & A 1 98 & Q 50 43 & Q 30 2 & Q 78 26 & Q 56 7 & A 8 8 & A 10 70 & Q 41 91 & Q 84 60 & Q 13 92 & Q 97 100 & Q 98 84 & Q 19 84 & Q 25 61 & A 76 71 & Q 91 40 & Q 26 15 & Q 72 98 & A 45 46 & Q 62 91 & F, call subscribe first, 37.03049287361516, 22, 425
2, 1715630760977, 1715630760978, 1, Q 39 84 & Q 96 26 & Q 42 57 & Q 24 78 & A 90 78 & Q 94 88 & Q 30 20 & A 11 6 & Q 89 23 & Q 35 24 & Q 11 49 & Q 54 38 & D 76 44 & Q 58 71 & Q 40 21 & Q 10 40 & Q 69 63 & Q 95 93 & F, call subscribe first, 17.39349711217967, 18, 5209
