Index, StartTimestamp, EndTimestamp, Latency, Batch, BatchOutput, writePercentage, batchSize, timeSleptAfterThisBatch
0, 1715633759166, 1715633759168, 2, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & Q 77 71 & Q 85 42 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 20, 6447
1, 1715633765696, 1715633765696, 0, D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & D 63 89 & D 40 96 & Q 4 44 & Q 96 77 & A 87 1 & Q 14 20 & Q 20 90 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 16, 3633
2, 1715633769331, 1715633769331, 0, Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & Q 38 32 & Q 78 85 & D 99 45 & D 43 33 & A 34 93 & A 81 26 & D 4 35 & F, GSPRemoteObject.processBatch called, 33.63625420673387, 17, 3005
