Index, StartTimestamp, EndTimestamp, Latency, Batch, BatchOutput, writePercentage, batchSize, timeSleptAfterThisBatch
0, 1715627560840, 1715627560848, 8, Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & F, GSPRemoteObject.processBatch called, 41.41905315473055, 17, 4285
1, 1715627565208, 1715627565210, 2, A 14 60 & Q 4 98 & A 53 2 & Q 95 99 & A 76 100 & Q 2 54 & D 74 34 & Q 61 26 & Q 1 95 & A 43 8 & Q 10 45 & Q 80 48 & Q 24 96 & Q 24 30 & Q 77 29 & Q 41 33 & D 84 12 & A 47 76 & D 47 5 & Q 52 32 & Q 7 96 & A 80 47 & F, GSPRemoteObject.processBatch called, 39.19407948982788, 22, 7120
2, 1715627572343, 1715627572346, 3, Q 23 24 & Q 3 53 & Q 39 33 & Q 69 26 & Q 28 34 & Q 28 22 & Q 5 4 & Q 94 48 & Q 31 36 & D 56 82 & Q 1 52 & Q 42 85 & Q 41 11 & Q 71 31 & Q 30 92 & Q 35 42 & A 7 82 & D 97 30 & Q 47 90 & A 100 75 & Q 37 46 & Q 32 99 & Q 67 79 & Q 80 90 & Q 94 75 & A 69 79 & F, GSPRemoteObject.processBatch called, 22.334603969125702, 26, 8131
0, 1715630755714, 1715630755717, 3, Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & F, call subscribe first, 41.41905315473055, 17, 4285
1, 1715630760148, 1715630760149, 1, A 14 60 & Q 4 98 & A 53 2 & Q 95 99 & A 76 100 & Q 2 54 & D 74 34 & Q 61 26 & Q 1 95 & A 43 8 & Q 10 45 & Q 80 48 & Q 24 96 & Q 24 30 & Q 77 29 & Q 41 33 & D 84 12 & A 47 76 & D 47 5 & Q 52 32 & Q 7 96 & A 80 47 & F, call subscribe first, 39.19407948982788, 22, 7120
2, 1715630767269, 1715630767270, 1, Q 23 24 & Q 3 53 & Q 39 33 & Q 69 26 & Q 28 34 & Q 28 22 & Q 5 4 & Q 94 48 & Q 31 36 & D 56 82 & Q 1 52 & Q 42 85 & Q 41 11 & Q 71 31 & Q 30 92 & Q 35 42 & A 7 82 & D 97 30 & Q 47 90 & A 100 75 & Q 37 46 & Q 32 99 & Q 67 79 & Q 80 90 & Q 94 75 & A 69 79 & F, call subscribe first, 22.334603969125702, 26, 8131
